rank,gene,escape_marker_effect,escape_marker_score,escape_marker_direction,trajectory_correlation,trajectory_score,trajectory_direction,differential_expression_effect,de_cell_lines_supported,de_direction,differential_expression_score,regulatory_effect,regulatory_score,transition_model_effect,transition_model_score,transition_model_direction,signature_score,signature_direction,evidence_source_count,available_evidence_weight,priority_score,evidence_sources
76,SAMD9,,,,,,,-3.7998672,2.0,lower_in_repop,0.3201574327737313,,,,,,1.0,down,2,0.30000000000000004,0.5467716218491541,differential_expression;signature
77,CAPN8,,,,,,,-4.86461615,2.0,lower_in_repop,0.3179743738243175,,,,,,1.0,down,2,0.30000000000000004,0.5453162492162116,differential_expression;signature
78,PIMREG,,,,,,,1.5967915499999998,2.0,higher_in_repop,0.31790387020813304,,,,,,1.0,up,2,0.30000000000000004,0.545269246805422,differential_expression;signature
79,PRSS23,,,,,,,-3.0954115,2.0,lower_in_repop,0.3131916057512886,,,,,,1.0,down,2,0.30000000000000004,0.5421277371675257,differential_expression;signature
80,SPC25,,,,,,,1.6952841,2.0,higher_in_repop,0.30902282764421996,,,,,,1.0,up,2,0.30000000000000004,0.5393485517628133,differential_expression;signature
81,LIMCH1,,,,,,,-2.556257,2.0,lower_in_repop,0.308228422391528,,,,,,1.0,down,2,0.30000000000000004,0.5388189482610186,differential_expression;signature
82,PARP9,,,,,,,-2.3282875499999998,2.0,lower_in_repop,0.3071111448051738,,,,,,1.0,down,2,0.30000000000000004,0.5380740965367825,differential_expression;signature
83,XAF1,,,,,,,-5.11294975,2.0,lower_in_repop,0.3047272646871378,,,,,,1.0,down,2,0.30000000000000004,0.5364848431247585,differential_expression;signature
84,DAPP1,,,,,,,-5.0811597,2.0,lower_in_repop,0.3046979999414868,,,,,,1.0,down,2,0.30000000000000004,0.5364653332943246,differential_expression;signature
85,CRABP1,,,,,,,1.8960902000000002,2.0,higher_in_repop,0.3036334852173209,,,,,,1.0,up,2,0.30000000000000004,0.5357556568115472,differential_expression;signature
86,TGFB2,,,,,,,-4.5394821,2.0,lower_in_repop,0.30184764142430953,,,,,,1.0,down,2,0.30000000000000004,0.534565094282873,differential_expression;signature
87,CDK6,,,,,,,-3.72871015,2.0,lower_in_repop,0.3011409858703815,,,,,,1.0,down,2,0.30000000000000004,0.5340939905802543,differential_expression;signature
88,PIF1,,,,,,,1.9719038,2.0,higher_in_repop,0.30078841131090134,,,,,,1.0,up,2,0.30000000000000004,0.5338589408739342,differential_expression;signature
89,GPNMB,,,,,,,-2.9013776,2.0,lower_in_repop,0.300723050500894,,,,,,1.0,down,2,0.30000000000000004,0.533815367000596,differential_expression;signature
90,IFIT3,,,,,,,-4.8538774,2.0,lower_in_repop,0.30040340686659656,,,,,,1.0,down,2,0.30000000000000004,0.5336022712443976,differential_expression;signature
91,SYT8,,,,,,,-2.3115324,2.0,lower_in_repop,0.2995306323998804,,,,,,1.0,down,2,0.30000000000000004,0.5330204215999202,differential_expression;signature
92,CDKN2B,,,,,,,-2.8015751,2.0,lower_in_repop,0.2985754449418283,,,,,,1.0,down,2,0.30000000000000004,0.5323836299612188,differential_expression;signature
93,FLRT3,,,,,,,-4.51123265,2.0,lower_in_repop,0.29803250910939255,,,,,,1.0,down,2,0.30000000000000004,0.532021672739595,differential_expression;signature
94,TNFSF15,,,,,,,-4.4051937,2.0,lower_in_repop,0.2972601776015519,,,,,,1.0,down,2,0.30000000000000004,0.5315067850677012,differential_expression;signature
95,UPK2,,,,,,,-3.9700935,2.0,lower_in_repop,0.2967851723703309,,,,,,1.0,down,2,0.30000000000000004,0.5311901149135538,differential_expression;signature
96,MND1,,,,,,,1.60509115,2.0,higher_in_repop,0.29465977897819706,,,,,,1.0,up,2,0.30000000000000004,0.5297731859854646,differential_expression;signature
97,IFIT2,,,,,,,-4.479813500000001,2.0,lower_in_repop,0.29403068765155926,,,,,,1.0,down,2,0.30000000000000004,0.5293537917677061,differential_expression;signature
98,DDX58,,,,,,,-2.45265515,2.0,lower_in_repop,0.29175937405273755,,,,,,1.0,down,2,0.30000000000000004,0.527839582701825,differential_expression;signature
99,TIFA,,,,,,,1.52964715,2.0,higher_in_repop,0.29013380047892795,,,,,,1.0,up,2,0.30000000000000004,0.5267558669859519,differential_expression;signature
100,FYB2,,,,,,,-3.63270985,2.0,lower_in_repop,0.2884877845850918,,,,,,1.0,down,2,0.30000000000000004,0.5256585230567278,differential_expression;signature
