gene,direction,cell_lines_supported,mean_log2_fold_change,minimum_adjusted_p_value,absolute_mean_log2_fold_change,comparison,required_cell_lines
GASK1B,down,2,-2.155052285,2.294339067235987e-33,2.155052285,REPOP_vs_TIS,2
H2BC4,down,2,-2.1386352,1.1731915472518711e-145,2.1386352,REPOP_vs_TIS,2
ENTPD8,down,2,-2.12905575,3.4423114198207377e-10,2.12905575,REPOP_vs_TIS,2
BIRC3,down,2,-2.118304,1.4030878590497818e-07,2.118304,REPOP_vs_TIS,2
TUBA1A,down,2,-2.11107495,0.0,2.11107495,REPOP_vs_TIS,2
AC093001.1,down,2,-2.1082038,4.188503351393008e-183,2.1082038,REPOP_vs_TIS,2
NABP1,down,2,-2.10140365,2.749520297651704e-127,2.10140365,REPOP_vs_TIS,2
PCDH7,down,2,-2.0928994,1.018138895319128e-05,2.0928994,REPOP_vs_TIS,2
TM4SF1,down,2,-2.09173565,3.4255249435131546e-78,2.09173565,REPOP_vs_TIS,2
SLCO3A1,down,2,-2.091224,9.616267758750482e-36,2.091224,REPOP_vs_TIS,2
SAMD4A,down,2,-2.0905039,1.6685493866804955e-162,2.0905039,REPOP_vs_TIS,2
