perturbation_rank,model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength,confidence_score,intervention_score,predicted_effect,rap_effect_fraction
6,rap_plus_pathways,IVL,activate,-1.0,differential_expression_effect,0.6192567491510668,2.0,1,Keratinization R-HSA-6805567,0.40940627470332364,0.3720258069735976,-0.03738046772972602,0.03738046772972602,0.03824783579195029,0.07426328987624853,79508,1.0,0.25,0.4762950412422,0.017804131418982582,predicted_suppression,0.25
7,rap_plus_pathways,CLU,activate,-1.0,differential_expression_effect,0.7603539739481504,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.44684365364074186,0.012389447154605918,predicted_suppression,0.25
8,rap_plus_pathways,BCAS1,activate,-1.0,differential_expression_effect,0.6837812817613224,3.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4418906408806612,0.012252117040712334,predicted_suppression,0.25
9,rap_plus_pathways,MYO1B,activate,-1.0,differential_expression_effect,0.7054155897786791,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4193744615560062,0.011627820350821943,predicted_suppression,0.25
10,rap_plus_pathways,H4C3,inhibit,1.0,differential_expression_effect,0.705187779578552,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4192605564559427,0.011624662151737367,predicted_suppression,0.25
11,rap_plus_pathways,PHGDH,inhibit,1.0,differential_expression_effect,0.7003715177248218,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.41685242552907753,0.011557892912392289,predicted_suppression,0.25
12,rap_plus_pathways,SDC2,activate,-1.0,differential_expression_effect,0.6971779366564773,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4152556349949053,0.011513619368885711,predicted_suppression,0.25
13,rap_plus_pathways,DHTKD1,inhibit,1.0,differential_expression_effect,0.6908306961041671,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4120820147187502,0.011425625726411778,predicted_suppression,0.25
14,rap_plus_pathways,NUDT3,inhibit,1.0,differential_expression_effect,0.6882075072090454,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4107704202711894,0.011389259695555279,predicted_suppression,0.25
15,rap_plus_pathways,ZWINT,inhibit,1.0,differential_expression_effect,0.6869889853380513,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4101611593356923,0.011372366972334966,predicted_suppression,0.25
