cell_line,gene,escape_prone_mean,stable_tis_mean,log_fold_change,absolute_log_fold_change,mann_whitney_statistic,p_value,adjusted_p_value,direction
MCF7,RND1,0.25046950578689575,0.6287974715232849,-0.37832796573638916,0.37832796573638916,3665172.0,0.0,0.0,lower_in_escape_prone
MCF7,SMC4,0.9021329283714294,0.5296313762664795,0.37250155210494995,0.37250155210494995,6893289.0,0.0,0.0,higher_in_escape_prone
MCF7,ZFP36L1,0.9034526944160461,1.275483250617981,-0.3720305562019348,0.3720305562019348,3789208.0,0.0,0.0,lower_in_escape_prone
MCF7,KTN1,1.8593716621398926,2.230623960494995,-0.37125229835510254,0.37125229835510254,3493955.0,0.0,0.0,lower_in_escape_prone
MCF7,CCNB1,0.638857901096344,0.28003695607185364,0.35882094502449036,0.35882094502449036,6699605.0,0.0,0.0,higher_in_escape_prone
MCF7,KLF10,0.9644570350646973,1.3225643634796143,-0.358107328414917,0.358107328414917,3797270.0,0.0,0.0,lower_in_escape_prone
MCF7,HMGN2,1.759110689163208,1.4056450128555298,0.3534656763076782,0.3534656763076782,7208235.5,0.0,0.0,higher_in_escape_prone
MCF7,L1CAM,0.16529005765914917,0.5168535709381104,-0.3515635132789612,0.3515635132789612,3512117.5,0.0,0.0,lower_in_escape_prone
MCF7,HSPD1,2.195729970932007,1.844833493232727,0.3508964776992798,0.3508964776992798,7478657.5,0.0,0.0,higher_in_escape_prone
MCF7,HMGB1,1.9778296947479248,1.6269944906234741,0.3508352041244507,0.3508352041244507,7176943.0,0.0,0.0,higher_in_escape_prone
MCF7,TMSB4X,1.6973888874053955,2.0476090908050537,-0.3502202033996582,0.3502202033996582,3834767.0,0.0,0.0,lower_in_escape_prone
MCF7,CLDN1,0.10392145067453384,0.4537702202796936,-0.34984877705574036,0.34984877705574036,3661089.0,0.0,0.0,lower_in_escape_prone
MCF7,HNRNPA2B1,2.663440704345703,2.313721179962158,0.3497195243835449,0.3497195243835449,7748023.0,0.0,0.0,higher_in_escape_prone
MCF7,UBE2S,0.7720136642456055,0.4223901331424713,0.34962353110313416,0.34962353110313416,6820759.0,0.0,0.0,higher_in_escape_prone
MCF7,WSB1,0.9204750657081604,1.2659761905670166,-0.3455011248588562,0.3455011248588562,3891427.0,0.0,0.0,lower_in_escape_prone
MCF7,PRR11,0.48478326201438904,0.14268840849399567,0.3420948386192322,0.3420948386192322,6865180.5,0.0,0.0,higher_in_escape_prone
MCF7,MAN2A1,0.6158101558685303,0.9577817320823669,-0.34197157621383667,0.34197157621383667,3785702.0,0.0,0.0,lower_in_escape_prone
MCF7,LMO7,0.13535794615745544,0.4737318456172943,-0.33837389945983887,0.33837389945983887,3880537.0,0.0,0.0,lower_in_escape_prone
MCF7,NEAT1,2.5238912105560303,2.8605799674987793,-0.336688756942749,0.336688756942749,4017439.5,0.0,0.0,lower_in_escape_prone
MCF7,CBX5,0.9584289789199829,0.6218404173851013,0.3365885615348816,0.3365885615348816,7047979.0,0.0,0.0,higher_in_escape_prone
MCF7,SMYD2,0.29671940207481384,0.6325072050094604,-0.3357878029346466,0.3357878029346466,3709523.0,0.0,0.0,lower_in_escape_prone
MCF7,KDM5B,1.4389512538909912,1.7706547975540161,-0.3317035436630249,0.3317035436630249,3716188.5,0.0,0.0,lower_in_escape_prone
MCF7,EFNA1,0.5170676708221436,0.8473628759384155,-0.330295205116272,0.330295205116272,3812708.0,0.0,0.0,lower_in_escape_prone
MCF7,SMAD3,0.31611764430999756,0.6458972096443176,-0.32977956533432007,0.32977956533432007,3786599.0,0.0,0.0,lower_in_escape_prone
MCF7,TMSB10,2.797379493713379,3.1247880458831787,-0.3274085521697998,0.3274085521697998,3497220.0,0.0,0.0,lower_in_escape_prone
MCF7,SULF2,1.7631676197052002,2.0898544788360596,-0.3266868591308594,0.3266868591308594,3642023.5,0.0,0.0,lower_in_escape_prone
MCF7,ANXA3,0.160526841878891,0.4857860207557678,-0.32525917887687683,0.32525917887687683,3650896.5,0.0,0.0,lower_in_escape_prone
MCF7,CENPE,0.4918626546859741,0.16722476482391357,0.32463788986206055,0.32463788986206055,6589289.0,0.0,0.0,higher_in_escape_prone
MCF7,BIRC5,0.46915358304977417,0.1452244371175766,0.3239291310310364,0.3239291310310364,6956261.5,0.0,0.0,higher_in_escape_prone
MCF7,BHLHE40,0.7154215574264526,1.0366029739379883,-0.32118141651153564,0.32118141651153564,3979115.0,0.0,0.0,lower_in_escape_prone
MCF7,NUCKS1,3.248817205429077,2.9284729957580566,0.3203442096710205,0.3203442096710205,7495786.5,0.0,0.0,higher_in_escape_prone
MCF7,CDKN2B,0.09660574793815613,0.4144837260246277,-0.31787797808647156,0.31787797808647156,3779897.5,0.0,0.0,lower_in_escape_prone
MCF7,KRT7,0.262267142534256,0.5795910954475403,-0.3173239529132843,0.3173239529132843,3834398.0,0.0,0.0,lower_in_escape_prone
MCF7,CLTB,1.0305455923080444,1.3468053340911865,-0.3162597417831421,0.3162597417831421,3891562.5,0.0,0.0,lower_in_escape_prone
MCF7,S100A11,1.60844087600708,1.9242501258850098,-0.3158092498779297,0.3158092498779297,3710908.0,0.0,0.0,lower_in_escape_prone
MCF7,DLGAP5,0.4619504511356354,0.1470102220773697,0.3149402141571045,0.3149402141571045,6718312.0,0.0,0.0,higher_in_escape_prone
MCF7,DAAM1,1.2148360013961792,1.5271506309509277,-0.31231462955474854,0.31231462955474854,3909407.0,0.0,0.0,lower_in_escape_prone
MCF7,TNFRSF11B,0.1643710434436798,0.47643786668777466,-0.31206682324409485,0.31206682324409485,4105377.5,0.0,0.0,lower_in_escape_prone
MCF7,CADM1,0.5527172684669495,0.8638435006141663,-0.3111262321472168,0.3111262321472168,3935535.5,0.0,0.0,lower_in_escape_prone
MCF7,GADD45B,0.668788492679596,0.9792693853378296,-0.31048089265823364,0.31048089265823364,3991499.0,0.0,0.0,lower_in_escape_prone
MCF7,PAPSS2,0.27133673429489136,0.5808820128440857,-0.30954527854919434,0.30954527854919434,3991790.0,0.0,0.0,lower_in_escape_prone
MCF7,ASPM,0.4687502682209015,0.16129255294799805,0.30745771527290344,0.30745771527290344,6565755.5,0.0,0.0,higher_in_escape_prone
MCF7,INPP4B,0.9613351821899414,1.2686389684677124,-0.307303786277771,0.307303786277771,3971310.5,0.0,0.0,lower_in_escape_prone
MCF7,HMMR,0.4233010709285736,0.11637742072343826,0.30692365765571594,0.30692365765571594,6681051.5,0.0,0.0,higher_in_escape_prone
MCF7,S100A6,0.3607475161552429,0.6632170081138611,-0.30246949195861816,0.30246949195861816,3962920.0,0.0,0.0,lower_in_escape_prone
T47D,TOP2A,2.084256410598755,1.198117733001709,0.8861386775970459,0.8861386775970459,40034912.0,0.0,0.0,higher_in_escape_prone
T47D,CENPF,1.8897881507873535,1.1605238914489746,0.7292642593383789,0.7292642593383789,39103776.0,0.0,0.0,higher_in_escape_prone
T47D,TUBA1B,2.6316425800323486,2.0273122787475586,0.60433030128479,0.60433030128479,40225848.0,0.0,0.0,higher_in_escape_prone
T47D,TPX2,1.3050397634506226,0.7662144899368286,0.538825273513794,0.538825273513794,37629048.0,0.0,0.0,higher_in_escape_prone
T47D,PTTG1,0.9429578185081482,0.43485838174819946,0.5080994367599487,0.5080994367599487,37663176.0,0.0,0.0,higher_in_escape_prone
T47D,CDK1,1.0890392065048218,0.6005407571792603,0.4884984493255615,0.4884984493255615,36687784.0,0.0,0.0,higher_in_escape_prone
T47D,MKI67,0.9800567626953125,0.49375906586647034,0.48629769682884216,0.48629769682884216,37184216.0,0.0,0.0,higher_in_escape_prone
T47D,ARL6IP1,1.8153719902038574,1.334704875946045,0.4806671142578125,0.4806671142578125,37264240.0,0.0,0.0,higher_in_escape_prone
T47D,CCNB1,1.03341543674469,0.556291401386261,0.47712403535842896,0.47712403535842896,36648192.0,0.0,0.0,higher_in_escape_prone
T47D,SMC4,1.8196980953216553,1.355318546295166,0.46437954902648926,0.46437954902648926,37592656.0,0.0,0.0,higher_in_escape_prone
T47D,SAT1,1.2064012289047241,1.6544404029846191,-0.448039174079895,0.448039174079895,20194914.0,0.0,0.0,lower_in_escape_prone
T47D,HMMR,0.8186183571815491,0.37191829085350037,0.4467000663280487,0.4467000663280487,36811016.0,0.0,0.0,higher_in_escape_prone
T47D,IFIT1,0.9736571311950684,1.4177836179733276,-0.4441264867782593,0.4441264867782593,21158174.0,0.0,0.0,lower_in_escape_prone
T47D,BIRC5,0.8635434508323669,0.42477935552597046,0.4387640953063965,0.4387640953063965,36830144.0,0.0,0.0,higher_in_escape_prone
T47D,KPNA2,1.337295651435852,0.9044007062911987,0.4328949451446533,0.4328949451446533,36171608.0,0.0,0.0,higher_in_escape_prone
T47D,UBE2C,0.7882495522499084,0.3672751784324646,0.42097437381744385,0.42097437381744385,36431576.0,0.0,0.0,higher_in_escape_prone
T47D,STMN1,1.2814922332763672,0.8613946437835693,0.42009758949279785,0.42009758949279785,36759072.0,0.0,0.0,higher_in_escape_prone
T47D,AURKA,0.9899427890777588,0.5725292563438416,0.41741353273391724,0.41741353273391724,35811056.0,0.0,0.0,higher_in_escape_prone
T47D,HMGB2,0.9063419103622437,0.4929596781730652,0.41338223218917847,0.41338223218917847,36428776.0,0.0,0.0,higher_in_escape_prone
T47D,NEAT1,2.8059351444244385,3.2192370891571045,-0.413301944732666,0.413301944732666,19242526.0,0.0,0.0,lower_in_escape_prone
T47D,TUBB4B,2.220571517944336,1.80912446975708,0.41144704818725586,0.41144704818725586,37992096.0,0.0,0.0,higher_in_escape_prone
T47D,CLU,2.3638813495635986,2.7615859508514404,-0.3977046012878418,0.3977046012878418,20323032.0,0.0,0.0,lower_in_escape_prone
T47D,PCLAF,0.8414413928985596,0.45152437686920166,0.3899170160293579,0.3899170160293579,36134144.0,0.0,0.0,higher_in_escape_prone
T47D,SOX4,1.0576368570327759,1.4460586309432983,-0.38842177391052246,0.38842177391052246,21365444.0,0.0,0.0,lower_in_escape_prone
T47D,H2AZ1,1.6582224369049072,1.2748539447784424,0.38336849212646484,0.38336849212646484,36697656.0,0.0,0.0,higher_in_escape_prone
T47D,APOD,0.8959282636642456,1.2780265808105469,-0.38209831714630127,0.38209831714630127,21917930.0,0.0,0.0,lower_in_escape_prone
T47D,ASPM,0.8492162227630615,0.4672797620296478,0.3819364607334137,0.3819364607334137,35802952.0,0.0,0.0,higher_in_escape_prone
T47D,CDKN3,0.7872053384780884,0.4130015969276428,0.37420374155044556,0.37420374155044556,35925736.0,0.0,0.0,higher_in_escape_prone
T47D,DLGAP5,0.7093992233276367,0.33630138635635376,0.37309783697128296,0.37309783697128296,36005856.0,0.0,0.0,higher_in_escape_prone
T47D,CEP55,0.7097262740135193,0.33918195962905884,0.37054431438446045,0.37054431438446045,36091960.0,0.0,0.0,higher_in_escape_prone
T47D,GPNMB,0.47731488943099976,0.8466809988021851,-0.3693661093711853,0.3693661093711853,21674078.0,0.0,0.0,lower_in_escape_prone
T47D,ANLN,0.9207220077514648,0.5560387372970581,0.36468327045440674,0.36468327045440674,35442976.0,0.0,0.0,higher_in_escape_prone
T47D,BCAS1,0.39576753973960876,0.7551829218864441,-0.3594153821468353,0.3594153821468353,21384122.0,0.0,0.0,lower_in_escape_prone
T47D,DHTKD1,1.1387418508529663,0.7968875765800476,0.3418542742729187,0.3418542742729187,36011992.0,0.0,0.0,higher_in_escape_prone
T47D,CKS2,1.0824086666107178,0.7434501051902771,0.3389585614204407,0.3389585614204407,35096792.0,0.0,0.0,higher_in_escape_prone
T47D,HMGB1,1.3072268962860107,0.983068585395813,0.32415831089019775,0.32415831089019775,35956968.0,0.0,0.0,higher_in_escape_prone
T47D,TACSTD2,1.8318088054656982,2.1556057929992676,-0.32379698753356934,0.32379698753356934,21336006.0,0.0,0.0,lower_in_escape_prone
T47D,INHBB,0.6757720112800598,0.9981231689453125,-0.3223511576652527,0.3223511576652527,22376698.0,0.0,0.0,lower_in_escape_prone
T47D,NEK2,0.6344344615936279,0.31572699546813965,0.3187074661254883,0.3187074661254883,34972528.0,0.0,0.0,higher_in_escape_prone
T47D,ISG15,0.6034983396530151,0.917630136013031,-0.31413179636001587,0.31413179636001587,22901858.0,0.0,0.0,lower_in_escape_prone
T47D,TUBA1C,1.611952781677246,1.298238754272461,0.31371402740478516,0.31371402740478516,35658176.0,0.0,0.0,higher_in_escape_prone
T47D,DEK,1.4079951047897339,1.0961031913757324,0.31189191341400146,0.31189191341400146,35461616.0,0.0,0.0,higher_in_escape_prone
T47D,SPAG5,0.5847707390785217,0.275504469871521,0.30926626920700073,0.30926626920700073,35361200.0,0.0,0.0,higher_in_escape_prone
T47D,ECT2,1.062337040901184,0.7536489963531494,0.30868804454803467,0.30868804454803467,35031504.0,0.0,0.0,higher_in_escape_prone
T47D,CKS1B,0.911618709564209,0.6033068299293518,0.3083118796348572,0.3083118796348572,35065848.0,0.0,0.0,higher_in_escape_prone
T47D,CLDN1,0.8935480117797852,1.2017616033554077,-0.30821359157562256,0.30821359157562256,23385914.0,0.0,0.0,lower_in_escape_prone
T47D,HNRNPA2B1,2.904338836669922,2.5961718559265137,0.3081669807434082,0.3081669807434082,38761272.0,0.0,0.0,higher_in_escape_prone
T47D,CBX5,1.0266573429107666,0.7188540697097778,0.30780327320098877,0.30780327320098877,35243816.0,0.0,0.0,higher_in_escape_prone
